lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
OMUC-MMAS-CSOT-EBRU-EMAS,Interval 3,3,1.0,0.89,-89.89,-200.0,-2
OMUC-MMAS-CSOT-EBRU-MHAR,Interval 3,3,2.46,1.08,-74.07,-81.14,-2
MMAS-CSOT-EBRU-HFRI-MHAR,Interval 3,3,2.86,2.49,0.0,0.0,0
MMAS-MMAS-EBRU-EMAS-HFRI,Interval 3,3,0.9,0.26,-307.69,-222.22,-2
OMUC-MMAS-MMAS-CSOT-MVIC,Interval 3,3,1.2,0.42,-95.24,-83.33,-1
OMUC-MMAS-CSOT-HFRI-MVIC,Interval 3,3,10.6,6.28,-6.37,-9.44,-1
MMAS-CSOT-EBRU-EMAS-HFRI,Interval 3,3,2.8,1.72,23.26,35.78,1
MMAS-MMAS-EBRU-HFRI-MVIC,Interval 3,3,8.31,3.74,-10.7,-12.03,-1
OMUC-MMAS-EBRU-EMAS-MVIC,Interval 3,3,5.26,3.03,39.6,56.98,3
OMUC-MMAS-MMAS-HFRI-MVIC,Interval 3,3,7.16,4.84,16.53,27.91,2
OMUC-MMAS-MMAS-HFRI-MHAR,Interval 3,3,13.37,8.77,-9.12,-14.96,-2
MMAS-MMAS-CSOT-EBRU-MVIC,Interval 3,3,38.0,23.5,3.4,5.26,2
OMUC-MMAS-CSOT-EMAS-MVIC,Interval 3,3,31.47,21.15,0.0,0.0,0
OMUC-MMAS-EBRU-EMAS-HFRI,Interval 3,3,1.2,0.27,-444.44,-250.0,-3
OMUC-MMAS-CSOT-EMAS-HFRI,Interval 3,3,3.5,2.7,-14.81,-28.57,-1
OMUC-MMAS-EBRU-HFRI-MVIC,Interval 3,3,8.46,5.35,-59.81,-94.51,-8
MMAS-EBRU-EMAS-HFRI-MVIC,Interval 3,3,2.66,1.08,-222.22,-225.14,-6
OMUC-MMAS-CSOT-HFRI-MVIC,Interval 3,3,6.8,4.54,8.81,14.72,1
OMUC-CSOT-EBRU-HFRI-MVIC,Interval 3,3,4.33,3.2,37.5,69.28,3
