lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
DNES-LSMI-EELL-MRAD-LGLA,Interval 4,4,0.96,0.8,0.0,0.0,0
DNES-AJAM-SWAR-MRAD-LGLA,Interval 4,4,0.4,0.22,-181.82,-250.0,-1
LSMI-SWAR-EELL-MRAD-LGLA,Interval 4,4,0.5,0.52,-153.85,-400.0,-2
AJAM-LSMI-NLOW-EELL-LGLA,Interval 4,4,17.32,10.88,7.35,11.54,2
LSMI-NLOW-SWAR-MRAD-LGLA,Interval 4,4,1.0,1.18,-67.8,-201.01,-2
AJAM-LSMI-EELL-MRAD-LGLA,Interval 4,4,10.88,4.78,-50.21,-55.17,-6
DNES-AJAM-NLOW-MRAD-LGLA,Interval 4,4,0.46,0.58,0.0,0.0,0
AJAM-SSZA-SWAR-MRAD-LGLA,Interval 4,4,1.0,0.9,-88.89,-200.0,-2
DNES-AJAM-LSMI-JKEN-LGLA,Interval 4,4,0.9,0.76,0.0,0.0,0
DNES-LSMI-SWAR-EELL-MRAD,Interval 4,4,8.21,4.35,36.78,48.73,4
AJAM-LSMI-SWAR-MRAD-LGLA,Interval 4,4,8.7,5.14,-62.26,-92.01,-8
AJAM-LSMI-SSZA-SWAR-LGLA,Interval 4,4,1.0,0.73,0.0,0.0,0
DNES-AJAM-LSMI-EELL-MRAD,Interval 4,4,2.7,1.68,0.0,0.0,0
DNES-NLOW-SSZA-SWAR-LGLA,Interval 4,4,0.96,0.31,0.0,0.0,0
DNES-NLOW-EELL-MRAD-LGLA,Interval 4,4,3.2,2.43,-16.46,-31.3,-1
AJAM-NLOW-SSZA-SWAR-LGLA,Interval 4,4,0.96,1.1,0.0,0.0,0
DNES-AJAM-LSMI-JKEN-EELL,Interval 4,4,4.3,2.22,-18.02,-23.26,-1
DNES-AJAM-JKEN-EELL-MRAD,Interval 4,4,3.3,1.5,-26.67,-30.3,-1
DNES-LSMI-JKEN-MRAD-LGLA,Interval 4,4,1.96,0.95,0.0,0.0,0
AJAM-LSMI-NLOW-JKEN-SWAR,Interval 4,4,3.1,1.78,-67.42,-96.93,-3
DNES-LSMI-NLOW-JKEN-LGLA,Interval 4,4,5.33,4.1,-19.51,-37.52,-2
LSMI-NLOW-JKEN-MRAD-LGLA,Interval 4,4,4.3,3.59,11.14,23.28,1
LSMI-NLOW-SWAR-EELL-MRAD,Interval 4,4,5.4,4.48,35.71,74.1,4
DNES-AJAM-LSMI-SWAR-MRAD,Interval 4,4,1.86,1.05,0.0,0.0,0
DNES-AJAM-SWAR-EELL-MRAD,Interval 4,4,3.4,2.17,18.43,29.41,1
DNES-AJAM-NLOW-SWAR-EELL,Interval 4,4,13.88,8.13,-59.04,-86.45,-12
AJAM-NLOW-SWAR-EELL-MRAD,Interval 4,4,8.16,4.7,25.53,36.76,3
AJAM-NLOW-SSZA-MRAD-LGLA,Interval 4,4,2.5,1.35,-29.63,-40.0,-1
DNES-AJAM-NLOW-EELL-MRAD,Interval 4,4,2.0,1.22,32.79,50.0,1
AJAM-LSMI-JKEN-SWAR-MRAD,Interval 4,4,6.4,4.37,-9.15,-15.64,-1
AJAM-LSMI-JKEN-MRAD-LGLA,Interval 4,4,9.76,6.16,12.99,20.49,2
AJAM-LSMI-NLOW-EELL-MRAD,Interval 4,4,9.96,6.35,18.9,30.12,3
AJAM-LSMI-NLOW-SWAR-LGLA,Interval 4,4,26.24,15.37,-2.6,-3.81,-1
DNES-AJAM-LSMI-JKEN-SWAR,Interval 4,4,2.96,2.08,38.46,67.45,2
DNES-LSMI-NLOW-SWAR-MRAD,Interval 4,4,4.43,3.06,-26.14,-45.15,-2
AJAM-NLOW-EELL-MRAD-LGLA,Interval 4,4,2.86,1.68,47.62,69.81,2
DNES-NLOW-SWAR-MRAD-LGLA,Interval 4,4,2.96,1.89,63.49,101.18,3
AJAM-LSMI-NLOW-JKEN-MRAD,Interval 4,4,3.36,2.47,97.17,178.31,6
AJAM-LSMI-NLOW-SWAR-MRAD,Interval 4,4,12.79,6.55,54.96,70.37,9
