team,lineup,minutes_sum,minutes_count,minutes_std,plusminus_per40_mean,plusminus_per40_std,netrating_mean,netrating_std,plusminus_per40_cv,netrating_cv
Portland,AEDD-TBAR-ESTR-NFRA-EZIM,25.23,4.0,3.72,-50.73,27.62,-83.81,45.38,0.54,0.54
Portland,MMEE-AMAR-ESHE-MBUR-LSPE,69.56,4.0,5.84,13.8,31.81,21.42,43.46,2.3,2.03
Portland,MMEE-AMAR-ESHE-MBUR-THUL,416.59,4.0,34.14,23.62,6.27,34.12,8.04,0.27,0.24
Portland,MMEE-ESHE-MBUR-LSPE-THUL,24.44,4.0,4.77,-6.55,34.09,-9.17,47.99,5.21,5.23
Portland,MMEE-RMOG-AMAR-ESHE-LSPE,41.59,4.0,7.06,5.77,16.03,8.32,21.62,2.78,2.6
Portland,MMEE-RMOG-AMAR-ESHE-NFRA,19.43,3.0,6.45,0.0,21.86,0.61,25.87,9808.07,42.27
Portland,MMEE-RMOG-AMAR-ESHE-THUL,57.12,4.0,6.78,-10.51,22.03,-13.76,28.13,2.1,2.04
Portland,MMEE-RMOG-AMAR-MBUR-LSPE,46.23,4.0,9.91,-8.65,28.22,-11.94,45.22,3.26,3.79
Portland,MMEE-RMOG-AMAR-MBUR-THUL,65.2,4.0,7.72,11.66,22.72,18.83,38.3,1.95,2.03
Portland,MMEE-RMOG-MBUR-LSPE-THUL,22.87,4.0,5.38,-1.75,39.08,-3.84,54.8,22.32,14.26
Portland,RMOG-AMAR-ESHE-MBUR-LSPE,40.36,4.0,3.68,48.56,38.4,65.56,53.05,0.79,0.81
Portland,RMOG-AMAR-ESHE-MBUR-THUL,51.37,4.0,10.06,20.25,24.04,28.16,34.65,1.19,1.23
Saint Mary's (CA),JHUN-MJON-KJOH-ASHO-EFOY,25.46,4.0,3.95,29.85,28.2,48.15,43.77,0.94,0.91
Saint Mary's (CA),JHUN-MJON-ZAOK-KJOH-ASHO,57.25,3.0,13.18,17.47,1.23,27.03,3.87,0.07,0.14
Saint Mary's (CA),JHUN-MJON-ZAOK-KJOH-EFOY,27.89,3.0,2.99,-10.04,43.92,-18.86,61.74,4.37,3.27
Saint Mary's (CA),JHUN-ZAOK-KJOH-ASHO-EFOY,22.57,3.0,6.68,19.5,12.46,29.89,20.0,0.64,0.67
Saint Mary's (CA),MHAS-MJON-ZAOK-KJOH-EFOY,15.28,2.0,0.52,-31.41,24.69,-43.01,34.32,0.79,0.8
Saint Mary's (CA),MJON-KJOH-ASHO-EFOY-ECLA,17.48,3.0,5.11,16.02,13.77,24.15,22.97,0.86,0.95
Saint Mary's (CA),MJON-KJOH-ASHO-EFOY-MAFE,50.85,3.0,23.74,10.22,18.44,15.13,31.91,1.8,2.11
Saint Mary's (CA),MJON-ZAOK-KJOH-AKUR-EFOY,17.73,2.0,5.85,2.25,6.46,4.09,8.45,2.87,2.06
Saint Mary's (CA),MJON-ZAOK-KJOH-ASHO-ECLA,20.55,4.0,1.61,-35.04,18.86,-52.3,23.47,0.54,0.45
Saint Mary's (CA),MJON-ZAOK-KJOH-ASHO-EFOY,77.29,4.0,11.2,9.31,16.84,13.3,25.24,1.81,1.9
Saint Mary's (CA),MJON-ZAOK-KJOH-ASHO-MAFE,36.4,3.0,18.03,5.49,12.03,9.82,21.66,2.19,2.21
Saint Mary's (CA),MJON-ZAOK-KJOH-EFOY-MAFE,27.79,4.0,6.71,20.15,40.59,35.13,43.83,2.01,1.25
San Diego,ARAN-HRHO-DMOO-KHOR-TREI,173.28,3.0,36.92,-10.85,7.46,-16.54,11.53,0.69,0.7
San Diego,ARAN-HRHO-JRHO-DMOO-KHOR,35.4,4.0,7.91,-24.86,5.65,-38.98,11.85,0.23,0.3
San Diego,ARAN-HRHO-JRHO-KHOR-TREI,48.44,4.0,7.78,15.69,21.96,24.35,30.6,1.4,1.26
San Diego,ARAN-HRHO-KHOR-CWRI-TREI,23.43,2.0,4.28,-1.7,26.96,-0.28,37.1,15.83,130.39
San Diego,ARAN-HRHO-KHOR-MTHA-TREI,66.58,4.0,18.86,-1.8,19.67,-2.74,28.67,10.93,10.45
San Diego,CGAL-HRHO-DMOO-KHOR-TREI,37.51,3.0,13.11,-1.07,15.84,-1.56,24.72,14.82,15.89
San Diego,LMCC-ARAN-DMOO-KHOR-TREI,74.67,3.0,29.04,-18.21,16.22,-29.54,24.61,0.89,0.83
San Diego,LMCC-ARAN-KHOR-CWRI-TREI,75.27,2.0,0.77,-9.56,9.7,-13.41,13.61,1.01,1.01
San Diego,LMCC-ARAN-KHOR-MTHA-CWRI,15.59,2.0,6.97,41.05,0.36,54.39,2.33,0.01,0.04
San Diego,LMCC-ARAN-KHOR-MTHA-TREI,24.46,3.0,7.37,-11.45,37.61,-19.94,37.22,3.29,1.87
San Diego,LMCC-HRHO-DMOO-KHOR-TREI,25.91,3.0,6.31,-6.18,14.89,-8.74,19.37,2.41,2.22
San Diego,LMCC-HRHO-KHOR-CWRI-TREI,19.76,2.0,0.82,-26.32,11.68,-35.22,13.1,0.44,0.37
San Francisco,CFUL-EPOR-AZIA-DSAN-FWER,23.01,2.0,4.65,-10.43,17.61,-11.69,20.24,1.69,1.73
San Francisco,EPAP-EPOR-AZIA-DSAN-FWER,37.18,2.0,6.99,30.12,23.93,37.39,27.13,0.79,0.73
San Francisco,LLEI-AKÉI-EPOR-AZIA-FWER,49.37,3.0,14.88,3.24,27.61,1.37,35.12,8.52,25.59
San Francisco,LLEI-CFUL-AKÉI-AZIA-FWER,24.65,3.0,2.59,-1.62,20.61,-3.11,29.61,12.69,9.53
San Francisco,LLEI-CFUL-AKÉI-EPOR-FWER,106.13,4.0,25.71,12.06,10.61,18.61,17.92,0.88,0.96
San Francisco,LLEI-CFUL-AZIA-DSAN-FWER,28.02,2.0,10.15,11.42,16.79,18.34,26.86,1.47,1.46
San Francisco,LLEI-CFUL-EPAP-AZIA-FWER,32.03,3.0,3.71,-16.23,31.78,-22.2,43.3,1.96,1.95
San Francisco,LLEI-CFUL-EPOR-AZIA-FWER,110.37,4.0,15.84,-10.51,14.13,-15.38,20.75,1.34,1.35
San Francisco,LLEI-CFUL-EPOR-DSAN-FWER,74.28,2.0,43.46,15.07,1.12,22.97,3.24,0.07,0.14
San Francisco,LLEI-EPAP-EPOR-AZIA-FWER,52.72,4.0,13.2,0.0,10.38,0.99,13.59,22073.09,13.67
San Francisco,LLEI-EPAP-EPOR-DSAN-FWER,24.29,2.0,6.0,-13.17,9.14,-20.33,14.11,0.69,0.69
San Francisco,LLEI-EPOR-AZIA-DSAN-FWER,28.52,2.0,0.3,25.25,5.98,36.44,7.81,0.24,0.21
Santa Clara,KING-MLAT-HRAP-MCUR-OPOL,41.44,4.0,17.03,-11.59,26.25,-14.75,29.4,2.27,1.99
Santa Clara,KING-MLAT-MCUR-AGOO-OPOL,28.99,4.0,8.52,17.93,36.35,32.88,42.97,2.03,1.31
Santa Clara,MNAR-KING-HRAP-AGOO-OPOL,51.17,4.0,7.38,17.2,25.63,27.69,36.44,1.49,1.32
Santa Clara,MNAR-KING-HRAP-MCUR-OPOL,32.16,4.0,5.27,2.49,7.63,2.69,9.44,3.06,3.51
