lineup,interval,interval_num,possessions,minutes,plusminus_per40,netrating,plusminus
EVIL-ATUH-JVIL-DMEN-ACOV,Interval 1,1,3.9,2.03,-59.11,-76.92,-3
EVIL-MALS-JVIL-DMEN-TWAL,Interval 1,1,1.66,0.98,40.82,60.06,1
EVIL-MALS-JVIL-TWAL-CKPE,Interval 1,1,2.4,1.3,0.0,0.0,0
JCHI-ADAR-MALS-JVIL-CKPE,Interval 1,1,2.0,0.99,0.0,0.0,0
JCHI-EVIL-CABR-DMEN-TWAL,Interval 1,1,2.13,1.07,74.77,93.76,2
ATUH-CABR-JVIL-TWAL-CKPE,Interval 1,1,0.5,0.01,8000.0,400.0,2
EVIL-ATUH-KGAR-CABR-DMEN,Interval 1,1,3.36,2.38,33.61,59.49,2
ATUH-MALS-JVIL-TWAL-CKPE,Interval 1,1,4.4,2.27,0.0,0.0,0
EVIL-ATUH-DMEN-TWAL-ACOV,Interval 1,1,4.16,1.93,-124.35,-144.06,-6
EVIL-ATUH-KGAR-TWAL-ACOV,Interval 1,1,5.33,3.42,-23.39,-37.52,-2
JCHI-EVIL-MALS-CABR-JVIL,Interval 1,1,3.0,1.85,21.62,33.33,1
EVIL-MALS-CABR-TWAL-ACOV,Interval 1,1,2.96,1.67,119.76,168.63,5
JCHI-MALS-CABR-TWAL-CKPE,Interval 1,1,6.9,2.92,0.0,0.0,0
EVIL-ATUH-ADAR-TWAL-ACOV,Interval 1,1,5.0,2.57,15.56,20.0,1
EVIL-ATUH-ADAR-KGAR-TWAL,Interval 1,1,4.11,2.38,-16.81,-24.35,-1
JCHI-ATUH-JVIL-TWAL-ACOV,Interval 1,1,3.96,2.42,0.0,0.0,0
ATUH-MALS-CABR-JVIL-TWAL,Interval 1,1,5.53,2.63,-15.21,-18.08,-1
EVIL-CABR-JVIL-TWAL-ACOV,Interval 1,1,8.2,4.7,59.57,85.42,7
ATUH-MALS-JVIL-DMEN-TWAL,Interval 1,1,3.0,1.98,80.81,133.33,4
EVIL-ATUH-MALS-JVIL-TWAL,Interval 1,1,5.45,3.72,-10.75,-18.34,-1
ATUH-ADAR-MALS-TWAL-ACOV,Interval 1,1,7.8,5.08,0.0,0.0,0
EVIL-ATUH-CABR-JVIL-DMEN,Interval 1,1,5.3,3.02,119.21,169.97,9
JCHI-EVIL-CABR-DMEN-ACOV,Interval 1,1,5.43,3.34,-23.95,-36.83,-2
JCHI-ADAR-KGAR-MALS-CKPE,Interval 1,1,5.16,3.1,77.42,116.21,6
EVIL-ATUH-ADAR-MALS-TWAL,Interval 1,1,12.86,6.15,6.5,7.77,1
