combo_string,interval_num,minutes,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40,combo_size,interval_len,interval_start,interval_end,player1,player2,player3
AM-ZO-CH,1,30.680999999999997,-19.556077050943582,-19.056080175924052,-2.504158396687984,9.505959478702565,-12.010117875390549,41,56,43.489999999999995,52.18,-15,94.2745458726144,107.32081257186661,-13.046266699252214,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,ZO,CH
JL-AC-CH,1,30.147000000000002,0.0,0.4999968750195311,27.650186563787912,26.577761095368515,1.0724254684193966,64,64,51.435,51.45,0,124.42889083309029,124.39261418853256,0.03627664455773072,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AC,CH
IK-ZO-CH,1,29.931,10.691256556747184,11.191253431766716,9.872993737994832,-8.594168460971758,18.46716219896659,57,49,53.445,54.92,8,106.65169800729721,89.22068463219229,17.431013375104925,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,IK,ZO,CH
AC-ZO-CH,1,28.206,-11.34510387860739,-10.845107003587858,6.806143907807396,25.153050199874727,-18.34690629206733,51,59,49.235,47.98,-8,103.58484817710978,122.96790329303877,-19.383055115928997,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AC,ZO,CH
IK-ZO-MH,1,27.823,10.063616432447974,10.563613307467506,0.08795580779558065,-13.10327584427337,13.19123165206895,49,42,50.585,49.58,7,96.86666007709796,84.71157724889068,12.155082828207284,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,IK,ZO,MH
JL-AM-PR,1,26.75,19.439252336448597,19.939249211468127,35.401841354654806,8.544553066818224,26.85728828783658,61,48,46.149,45.13,13,132.1805456239572,106.35940615998227,25.821139463974916,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,JL,AM,PR
AM-ZO-MH,1,25.977,-15.398236901874736,-14.898240026855204,-16.949007622149637,-6.292144020975513,-10.656863601174123,30,40,37.58,43.705,-10,79.82969664715274,91.52270907218853,-11.69301242503579,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,ZO,MH
AM-AC-MH,1,25.064,-14.363230130864986,-13.863233255845454,-5.3886128792109815,3.52193000299809,-8.910542882209072,38,47,41.58,46.38,-9,91.3900913900914,101.33678309616214,-9.946691706070737,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,AC,MH
AM-IK-PR,1,24.495,-13.063890589916308,-12.563893714896777,-25.10651802047633,-13.580362484171445,-11.526155536304884,29,37,40.462,43.925,-8,71.67218624882605,84.2344906089926,-12.56230436016655,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,IK,PR
AM-AC-CH,1,23.617,-27.099123512723885,-26.599126637704355,-3.619268549313034,21.20498354627587,-24.824252095588903,35,51,37.57,42.85,-16,93.15943571998935,119.01983663943992,-25.86040091945057,1600.01,-20,2630,2650,2717.5400000000004,2709.2,5426.74,96.77870426930238,97.81485309316405,-1.0361488238616658,-0.4999968750195311,3,4,251205,251221,AM,AC,CH
