lineup,poss_total,PM_p40,plus_minus,net_rtg,minutes,o_poss,d_poss,pts_for,pts_against,o_eFG%,o_TOV%,o_orbR,o_ftaR,off_rtg,d_eFG%,d_TOV%,d_orbR,d_ftaR,def_rtg,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg,team_minutes,team_plus_minus,team_pts_for,team_pts_against,team_o_poss,team_d_poss,team_poss_total,team_off_rtg,team_def_rtg,team_net_rtg,team_PM_p40
AM-AC-IK-MH-PR,4.665,0.0,0,-2.483,1.567,2.4,2.265,1,1,0.0,0.0,0.0,0.5,41.667,0.0,0.442,0.442,2.0,44.15,-2.444,-62.491,-56.513,-5.978,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-KJ-PR,4.0,0.0,0,0.0,1.367,2.0,2.0,2,2,1.0,0.5,0.0,0.0,100.0,0.5,0.0,0.0,0.0,100.0,-2.444,-4.158,-0.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-JL-IK-MH-CH,4.86,0.0,0,-40.86,1.33,3.0,1.86,2,2,0.5,0.333,0.0,0.0,66.667,0.25,0.0,1.075,0.0,107.527,-2.444,-37.491,6.864,-44.355,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AM-IK-MH-PR,4.8,30.769,1,55.556,1.3,1.8,3.0,1,0,0.0,0.0,0.0,2.0,55.556,0.0,0.0,0.0,0.0,0.0,28.325,-48.602,-100.663,52.061,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-IK-MH-AM7,3.93,64.865,2,107.254,1.233,1.93,2.0,4,2,0.667,0.0,0.518,0.0,207.254,0.5,0.0,0.0,0.0,100.0,62.42,103.096,-0.663,103.759,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-ZO-KJ-AM7,6.59,-164.384,-5,-117.737,1.217,2.86,3.73,2,7,0.333,0.699,0.699,0.0,69.93,0.625,0.0,0.268,0.5,187.668,-166.828,-34.228,87.004,-121.232,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AC-ZO-MH-CH,3.33,0.0,0,-171.245,1.1,2.33,1.0,3,3,0.333,0.0,0.429,0.333,128.755,1.5,0.0,0.0,0.0,300.0,-2.444,24.598,199.337,-174.739,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-PR-AM7,3.0,-78.689,-2,-100.0,1.017,1.0,2.0,0,2,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,100.0,-81.133,-104.158,-0.663,-103.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-JL-AM-KJ-AM7,2.93,0.0,0,0.0,1.0,1.93,1.0,0,0,0.0,0.518,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AC-ZO-MH-AM7,4.2,-42.105,-1,-13.889,0.95,1.8,2.4,2,3,0.0,0.0,0.0,2.0,111.111,1.0,0.417,0.0,1.0,125.0,-44.55,6.954,24.337,-17.383,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-JL-IK-KJ-AM7,2.995,-128.114,-3,-145.278,0.937,0.93,2.065,0,3,0.0,1.075,1.075,0.0,0.0,0.0,0.0,0.484,4.0,145.278,-130.558,-104.158,44.615,-148.773,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-IK-ZO-KJ-PR,2.0,0.0,0,0.0,0.933,1.0,1.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AM-ZO-KJ-CH,1.93,85.714,2,215.054,0.933,0.93,1.0,2,0,0.5,0.0,1.075,0.0,215.054,0.0,0.0,0.0,0.0,0.0,83.27,110.896,-100.663,211.559,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-MH-AM7,1.93,87.273,2,215.054,0.917,0.93,1.0,2,0,0.5,0.0,1.075,0.0,215.054,0.0,0.0,0.0,0.0,0.0,84.828,110.896,-100.663,211.559,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AM-ZO-MH-CH,3.0,-97.959,-2,0.0,0.817,1.0,2.0,2,4,1.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,200.0,-100.404,95.842,99.337,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-IK-ZO-MH-AM7,2.8,0.0,0,0.0,0.752,1.8,1.0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-IK-ZO-KJ,1.93,120.0,2,215.054,0.667,0.93,1.0,2,0,0.5,0.0,1.075,0.0,215.054,0.0,0.0,0.0,0.0,0.0,117.556,110.896,-100.663,211.559,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-MH-AM7,2.2,0.0,0,-194.444,0.633,1.8,0.4,1,1,0.0,0.556,0.0,0.0,55.556,0.0,0.0,0.0,0.0,250.0,-2.444,-48.602,149.337,-197.939,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-ZO-PR-AM7,2.4,-129.73,-2,0.0,0.617,0.8,1.6,2,4,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,250.0,-132.174,145.842,149.337,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-IK-ZO-PR-CH,0.0,0.0,0,0.0,0.617,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AC-ZO-KJ-MH,0.93,0.0,0,-0.0,0.6,-0.07,1.0,0,0,0.0,-0.0,-14.286,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-ZO-KJ-CH,1.8,0.0,0,-50.0,0.5,1.0,0.8,2,2,1.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,250.0,-2.444,95.842,149.337,-53.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AM-AC-KJ-MH-CH,1.8,-282.353,-2,-250.0,0.283,1.0,0.8,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,-284.797,-104.158,149.337,-253.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AM-AC-MH-PR,1.8,184.615,1,125.0,0.217,0.8,1.0,1,0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,182.171,20.842,-100.663,121.506,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-AC-IK-MH,1.0,0.0,0,0.0,0.203,1.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-IK-KJ-AM7,1.0,0.0,0,0.0,0.2,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
AC-IK-ZO-PR-AM7,1.0,0.0,0,0.0,0.133,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.444,-104.158,-100.663,-3.494,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
JL-AM-ZO-MH-PR,1.8,1170.732,2,250.0,0.068,0.8,1.0,2,0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,1168.287,145.842,-100.663,246.506,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
MS-AM-AC-PR-CH,0.4,750.0,1,250.0,0.053,0.4,0.0,1,0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,747.556,145.842,-100.663,246.506,539.998,33,933,900,895.758,894.071,1789.829,104.158,100.663,3.494,2.444
