player1,player2,player3,minutes,pts_for,pts_against,o_poss,d_poss,plus_minus,off_rtg,def_rtg,net_rtg,PM_p40,rel_PM_p40,rel_off_rtg,rel_def_rtg,rel_net_rtg
AC,ZO,CH,67.922,129,146,113.185,112.015,-17,113.9726995626629,130.3396866491095,-16.3669870864466,-10.01148376078443,-12.455941785551234,9.815219704799347,29.67654020995643,-19.86132050515708
AM,ZO,PR,67.533,115,102,108.004,111.085,13,106.47753786896781,91.82157807084666,14.65595979812116,7.699939288940222,5.255481264173417,2.3200580111042655,-8.841568368306412,11.161626379410677
AM,IK,ZO,65.678,101,89,105.095,105.55,12,96.10352538179743,84.32022738038845,11.78329800140898,7.308383324705381,4.863925299938576,-8.053954476066124,-16.342919058764622,8.288964582698497
JL,IK,PR,63.013999999999996,117,118,105.11,104.221,-1,111.31195890019978,113.22094395563273,-1.9089850554329502,-0.6347795727933475,-3.079237597560152,7.154479042336234,12.557797516479667,-5.403318474143433
IK,ZO,CH,62.682,106,92,106.63,108.57,14,99.4091719028416,84.73795707838262,14.671214824458986,8.933984237899237,6.489526213132432,-4.748307955021943,-15.925189360770446,11.176881405748503
IK,ZO,MH,61.052,113,98,108.63,105.75,15,104.02282978919268,92.67139479905437,11.351434990138316,9.827687872633165,7.38322984786636,-0.13465006867086515,-7.991751640098698,7.857101571427833
AM,PR,CH,52.875,79,84,85.1,84.16,-5,92.8319623971798,99.80988593155894,-6.977923534379144,-3.7825059101654848,-6.226963934932289,-11.325517460683756,-0.8532605075941291,-10.472256953089627
AC,ZO,PR,52.519,80,85,84.425,85.365,-5,94.75866153390584,99.57242429567154,-4.813762761765702,-3.808145623488642,-6.252603648255446,-9.398818323957713,-1.0907221434815284,-8.308096180476184
IK,MH,PR,50.799,108,93,95.21,86.756,15,113.43346287154712,107.19719673567245,6.236266135874672,11.811256127089116,9.366798102322312,9.275983013683572,6.534050296519382,2.7419327171641896
JL,MH,PR,50.644999999999996,110,96,98.108,87.464,14,112.1213356708933,109.7594438854843,2.361891785409,11.057360055286802,8.612902030519997,7.9638558130297525,9.096297446331235,-1.1324416333014824
AC,IK,CH,47.764,70,73,78.29,80.24000000000001,-3,89.41116362242943,90.97706879361913,-1.5659051711896979,-2.512352399296541,-4.956810424063345,-14.746316235434122,-9.686077645533942,-5.06023858990018
AC,MH,PR,44.879,79,70,86.808,79.403,9,91.00543728688599,88.15787816581236,2.8475591210736297,8.02156910804608,5.577111083279275,-13.152042570977557,-12.505268273340704,-0.6467742976368527
AM,AC,KJ,44.017,68,85,67.907,72.04,-17,100.13695200789314,117.99000555247083,-17.85305354457769,-15.4485766862803,-17.893034711047104,-4.0205278499704065,17.326859113317767,-21.347386963288173
AC,IK,MH,42.806000000000004,71,69,74.17,71.765,2,95.72603478495348,96.14714693792239,-0.42111215296890236,1.8688968836144464,-0.5755611411523582,-8.431445072910066,-4.515999501230681,-3.915445571679385
AM,ZO,KJ,41.452999999999996,61,59,64.237,66.5,2,94.96084810934508,88.7218045112782,6.2390435980668855,1.929896509299689,-0.5145615154671157,-9.19663174851847,-11.941341927874873,2.744710179356403
JL,ZO,CH,41.291,94,90,73.42,73.57000000000001,4,128.0305093979842,122.33247247519368,5.698036922790507,3.874936426824248,1.4304784020574433,23.87302954012064,21.669326036040616,2.203703504080025
AM,KJ,CH,40.217,62,68,65.605,68.05,-6,94.50499199756116,99.92652461425423,-5.421532616693071,-5.967625630952085,-8.41208365571889,-9.652487860302386,-0.7366218248988332,-8.915866035403553
